LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
54442-9,"Carnitine esters/Carnitine.free (C0)",SRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Observation,,umol/mol,"Carnitine esters/Carnitine.free (C0) [Molar ratio] in Urine",{Ratio},2.27,false,"Carnitine esters/Carnitine.free (C0):SRto:Pt:Urine:Qn:"
22704-1,"Carnitine.free (C0)/Creatinine",SRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mmol/mol;umol/mol creat","Carnitine free (C0)/Creatinine [Molar ratio] in Urine",umol/mol{creat},1.0n,false,"Carnitine.free (C0)/Creatinine:SRto:Pt:Urine:Qn:"
44309-3,Cortisol.free/Creatinine,MRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"ug/g creatinine","Cortisol Free/Creatinine [Mass Ratio] in Urine",ug/g{creat},2.17,false,Cortisol.free/Creatinine:MRto:Pt:Urine:Qn:
53777-9,Cortisone.free,MCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,ug/L,"Cortisone free [Mass/volume] in Urine",ug/L,2.26,false,Cortisone.free:MCnc:Pt:Urine:Qn:
73881-5,Cortisone.free,SCnc,Pt,Urine,Qn,,CHEM,2.44,ACTIVE,1,Both,,nmol/L,"Cortisone free [Moles/volume] in Urine",nmol/L,2.44,false,Cortisone.free:SCnc:Pt:Urine:Qn:
9745-1,"Gamma globulin",MCnc,Pt,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,g/L;g/dL,"Gamma globulin [Mass/volume] in Urine by Electrophoresis",g/dL,1.0i,false,"Gamma globulin:MCnc:Pt:Urine:Qn:Electrophoresis"
100428-2,"Carnitine Free & Total & Acylcarnitine Panel",-,Pt,Urine,-,,PANEL.CHEM,2.78,ACTIVE,1,Order,,,"Carnitine free and total and acylcarnitine panel - Urine",,2.73,true,"Carnitine Free & Total & Acylcarnitine Panel:-:Pt:Urine:-:"
27055-3,Catecholamines.free,MRat,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"ug/24 H","Catecholamines Free [Mass/time] in 24 hour Urine",ug/(24.h),2.00,false,Catecholamines.free:MRat:24H:Urine:Qn:
16667-8,Cortisol.free,MRat,48H,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,"ug/24 H","Cortisol Free [Mass/time] in 48 hour Urine",ug/(24.h),1.0l,false,Cortisol.free:MRat:48H:Urine:Qn:
2450-5,Hydroxyproline.free,MRat,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/24 H","Hydroxyproline Free [Mass/time] in 24 hour Urine",mg/(24.h),1.0,false,Hydroxyproline.free:MRat:24H:Urine:Qn:
