LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
109066-1,Bilirubin.non-glucuronidated,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Bili; Bilirub Indirect; Bilirubin indirect; Bilirubin non-conjugated; Bilirubin primary; Bilirubin unconjugated; Bilirubins; Billirubin; Bu; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TBIL,Bilirub Indirect Msmt SerPl,Order,,,,Bilirubin.indirect [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Bilirubin.indirect [Measurement]
14630-8,Bilirubin.non-glucuronidated,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,Method can be WET CHEMISTRY or DRY SLIDE (Bu),ACTIVE,,1,,,,,Y,Bili; Bilirub Indirect; Bilirubin indirect; Bilirubin non-conjugated; Bilirubin primary; Bilirubin unconjugated; Bilirubins; Billirubin; Bu; Chemistry; Hematology; Heme; Hepatology; Level; Liver; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; TBIL,Bilirub Indirect SerPl-sCnc,Both,,,umol/L,Bilirubin.indirect [Moles/volume] in Serum or Plasma,umol/L,,,,12608,0,,,,,,1.0k,,Bilirubin.indirect [Moles/Vol]
1971-1,Bilirubin.non-glucuronidated,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,Method can be WET CHEMISTRY or DRY SLIDE (Bu),ACTIVE,,1,,,,,Y,Bili; Bilirub Indirect; Bilirubin indirect; Bilirubin non-conjugated; Bilirubin primary; Bilirubin unconjugated; Bilirubins; Billirubin; Bu; Chemistry; Hematology; Heme; Hepatology; Level; Liver; Mass Concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TBIL,Bilirub Indirect SerPl-mCnc,Both,,,mg/dL,Bilirubin.indirect [Mass/volume] in Serum or Plasma,mg/dL,,,,183,0,,,,,,1.0,,Bilirubin.indirect [Mass/Vol]
33898-8,Bilirubin.glucuronidated+Bilirubin.non-glucuronidated,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,Method is DRY SLIDE (NBILI or BuBc),ACTIVE,,1,,,,,N,Bc; Bili; Bilirub Conj; Bilirub Conj+Unconj; Bilirub Indirect; Bilirubin conjugated; Bilirubin glucuronides; Bilirubin indirect; Bilirubin non-conjugated; Bilirubin primary; Bilirubin unconjugated; Bilirubins; Billirubin; Bu; Bu+Bc; BuBc; Chemistry; Hematology; Heme; Hepatology; Level; Liver; Mass Concentration; NBIL; Neonatal Bilirubin; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TBIL,Bilirub Conj+Unconj SerPl-mCnc,Both,,,mg/dL,Bilirubin.conjugated+indirect [Mass/volume] in Serum or Plasma,mg/dL,,,,1726,0,,,,,,2.09,,Bilirubin.conjugated+indirect [Mass/Vol]
33899-6,Bilirubin.glucuronidated+Bilirubin.non-glucuronidated,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,Method is DRY SLIDE (NBILI or BuBc),ACTIVE,,1,,,,,N,Bc; Bili; Bilirub Conj; Bilirub Conj+Unconj; Bilirub Indirect; Bilirubin conjugated; Bilirubin glucuronides; Bilirubin indirect; Bilirubin non-conjugated; Bilirubin primary; Bilirubin unconjugated; Bilirubins; Billirubin; Bu; Bu+Bc; BuBc; Chemistry; Hematology; Heme; Hepatology; Level; Liver; NBIL; Neonatal Bilirubin; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; TBIL,Bilirub Conj+Unconj SerPl-sCnc,Both,,,umol/L,Bilirubin.conjugated+indirect [Moles/volume] in Serum or Plasma,umol/L,,,,0,0,,,,,,2.09,,Bilirubin.conjugated+indirect [Moles/Vol]
35192-4,Bilirubin.non-glucuronidated,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,DISCOURAGED,,1,,,,,N,Bili; Bilirub Indirect; Bilirubin indirect; Bilirubin non-conjugated; Bilirubin primary; Bilirubin unconjugated; Bilirubins; Billirubin; Bu; Chemistry; Hematology; Heme; Hepatology; Level; Liver; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TBIL,Bilirub Indirect SerPl-msCnc,Both,,,,Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma,mg/dL,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,727,0,,,,,,2.11,,Bilirubin.indirect [Mass or moles/Vol]
