LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
2965-2,Observation,SpGrav,Pt,Urine,Qn,,CHEM,2.79,NAM,,ACTIVE,,1,,,,,,Chemistry; Point in time; QNT; Quan; Quant; Quantitative; Random; Sp Gr; UA; UniversalLabOrders; UR; Urn,Sp Gr Ur,Both,,,,Specific gravity of Urine,,,,"Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth…;",94,0,,,,,,1.0,,Specific gravity (U)
2966-0,Observation,SpGrav,24H,Urine,Qn,,CHEM,2.79,NAM,,ACTIVE,,1,,,,,,1 day; 24 hours; 24HR; Chemistry; QNT; Quan; Quant; Quantitative; Sp Gr; UA; UR; Urn,Sp Gr 24h Ur,Both,,,,Specific gravity of 24 hour Urine,,,,"Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth…;",17904,0,,,,,,1.0,,Specific gravity (24H U)
44933-0,Observation,SpGrav,24H,Urine,Qn,Refractometry,CHEM,2.79,NAM,,ACTIVE,,1,,,,,N,1 day; 24 hours; 24HR; Chemistry; QNT; Quan; Quant; Quantitative; Refract; Sp Gr; UA; UR; Urn,Sp Gr 24h Ur Refractometry,Both,,,,Specific gravity of 24 hour Urine by Refractometry,,,,"Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth…;",7649,0,,,,,,2.17,,Specific gravity Refractometry (24H U)
49959-0,Observation,SpGrav,Pt,Urine,Qn,Adjustment to pH 7.4,UA,2.82,NAM,,ACTIVE,,1,,,,,N,Adjust to pH 7.4; Point in time; QNT; Quan; Quant; Quantitative; Random; Sp Gr; UA; UR; URINALYSIS; Urn,Sp Gr Ur Adjust to pH 7.4,Observation,,,,Specific gravity of Urine by Adjustment to pH 7.4,,,,"Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth... keeping the challenge and/ or adjustment.;",0,0,,,,,,2.22,,Specific gravity Adjustment to pH 7.4 (U)
50562-8,Observation,SpGrav,Pt,Urine,Qn,Refractometry.automated,UA,2.82,MIN,,ACTIVE,,1,,,,,N,Auto; Automated detection; Elec; Elect; Electr; Point in time; QNT; Quan; Quant; Quantitative; Random; Refract; Refract.auto; Sp Gr; UA; UR; URINALYSIS; Urn,Sp Gr Ur Refract.auto,Observation,,,,Specific gravity of Urine by Refractometry automated,,,,"Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth…;",167,0,,,,,,2.22,,Specific gravity Refractometry automated (U)
53326-5,Observation,SpGrav,Pt,Urine,SemiQn,Test strip.automated,UA,2.82,MIN,,ACTIVE,,1,,,,,N,Auto; Automated detection; Dip stick; Dipstick; Elec; Elect; Electr; Point in time; Random; SmQn; Sp Gr; UA; UR; URINALYSIS; Urn,Sp Gr Ur Strip.auto,Observation,,,,Specific gravity of Urine by Automated test strip,,,,"Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth…;",227,0,,,,,,2.24,,Specific gravity Auto test strip (U)
5810-7,Observation,SpGrav,Pt,Urine,Qn,Refractometry,UA,2.79,NAM,,ACTIVE,,1,,,,,,Point in time; QNT; Quan; Quant; Quantitative; Random; Refract; Sp Gr; UA; UR; URINALYSIS; Urn,Sp Gr Ur Refractometry,Both,,,,Specific gravity of Urine by Refractometry,{Spec grav},,,"Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth…;",1089,0,,,,,,1.0,,Specific gravity Refractometry (U)
5811-5,Observation,SpGrav,Pt,Urine,SemiQn,Test strip,UA,2.79,NAM,,ACTIVE,,1,,,,,,Dip stick; Dipstick; Point in time; Random; SmQn; Sp Gr; UA; UniversalLabOrders; UR; URINALYSIS; Urn,Sp Gr Ur Strip,Both,,,,Specific gravity of Urine by Test strip,{Spec grav},,,"Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth…; Previous Releases: Changed Order_Obs from 'Observation Only' to fit the current order use cases.",144,0,,,,,,1.0,,Specific gravity Test strip (U)
