LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
29261-5,Lymphocytes.abnormal/Leukocytes,NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Abnormal lymphocytes/Leukocytes in Blood by Manual count",%,2.03,false,"Lymphocytes.abnormal/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
15197-7,Lymphocytes.clefted/Leukocytes,NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Lymphocytes clefted/Leukocytes in Blood by Manual count",%,1.0k,false,"Lymphocytes.clefted/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
33833-5,Lymphocytes.immunoblastic/Leukocytes,NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Lymphocytes Immunoblastic/Leukocytes in Blood by Manual count",%,2.09,false,"Lymphocytes.immunoblastic/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
32712-2,Platelets.giant/Leukocytes,Ratio,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,,"Giant platelets/Leukocytes [Ratio] in Blood by Manual count",,2.09,false,"Platelets.giant/Leukocytes:Ratio:Pt:Bld:Qn:Manual count"
51830-8,"Prolymphocytes/100 leukocytes",NFr,Pt,Bld,Qn,"Automated count",HEM/BC,2.36,DEPRECATED,1,Observation,,%,"Deprecated Prolymphocytes/100 leukocytes in Blood by Automated count",%,2.24,false,"Prolymphocytes/100 leukocytes:NFr:Pt:Bld:Qn:Automated count"
782-3,"Promyelocytes/100 leukocytes",NFr,Pt,Bld,Qn,"Automated count",HEM/BC,2.70,DEPRECATED,1,Observation,,%,"Deprecated Promyelocytes/100 leukocytes in Blood by Automated count",%,1.0,false,"Promyelocytes/100 leukocytes:NFr:Pt:Bld:Qn:Automated count"
13598-8,"Promyelocytes/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,DEPRECATED,1,Observation,,%,"Deprecated Promyelocytes/100 leukocytes in Blood by Manual count",%,1.0k,false,"Promyelocytes/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
71666-2,Promyelocytes/Leukocytes,NFr.DF,Pt,Bld,Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Promyelocytes/Leukocytes [Pure number fraction] in Blood by Manual count",,2.42,false,"Promyelocytes/Leukocytes:NFr.DF:Pt:Bld:Qn:Manual count"
99776-7,Leukocytes,NCnc,Pt,BAL,Qn,"Automated count",HEM/BC,2.72,ACTIVE,1,Observation,,10*9/L,"Leukocytes [#/volume] in Bronchoalveolar lavage by Automated count",10*9/L,2.72,false,"Leukocytes:NCnc:Pt:BAL:Qn:Automated count"
99051-5,Leukocytes,NCnc,Pt,BAL,Qn,"Manual count",HEM/BC,2.72,ACTIVE,1,Observation,,10*9/L,"Leukocytes [#/volume] in Bronchoalveolar lavage by Manual count",10*9/L,2.72,false,"Leukocytes:NCnc:Pt:BAL:Qn:Manual count"
