LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
50383-9,"Glomerular filtration rate.predicted",VRat,Pt,Ser/Plas,Qn,"Creatinine-based formula (Schwartz)",CHEM,2.36,DEPRECATED,1,Both,,mL/min,"Deprecated Glomerular filtration rate/1.73 sq M.predicted in 24 hour by Creatinine-based formula (Schwartz)",mL/min,2.22,false,"Glomerular filtration rate.predicted:VRat:Pt:Ser/Plas:Qn:Creatinine-based formula (Schwartz)"
48642-3,"Glomerular filtration rate",ArVRat,Pt,Ser/Plas/Bld,Qn,"Creatinine-based formula (MDRD)/1.73 sq M among non black population",CHEM,2.79,ACTIVE,1,Observation,,"mL/min; ml/min/1.73m2","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M among non black population",mL/min/{1.73_m2},2.21,false,"Glomerular filtration rate:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD)/1.73 sq M among non black population"
98980-6,"Glomerular filtration rate",ArVRat,Pt,Ser/Plas/Bld,Qn,"Creatinine and Cystatin C-based formula (CKD-EPI 2021)/1.73 sq M",CHEM,2.79,ACTIVE,1,Both,,"mL/min/1.73 sq M","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine and Cystatin C-based formula (CKD-EPI 2021)/1.73 sq M",mL/min/{1.73_m2},2.72,false,"Glomerular filtration rate:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine and Cystatin C-based formula (CKD-EPI 2021)/1.73 sq M"
94677-2,"Glomerular filtration rate",ArVRat,Pt,Ser/Plas/Bld,Qn,"Creatinine and Cystatin C-based formula (CKD-EPI)/1.73 sq M",CHEM,2.79,ACTIVE,1,Both,,"mL/min/1.73 sq m","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine and Cystatin C-based formula (CKD-EPI)/1.73 sq M",mL/min/{1.73_m2},2.68,false,"Glomerular filtration rate:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine and Cystatin C-based formula (CKD-EPI)/1.73 sq M"
102097-3,"Glomerular filtration rate",ArVRat,Pt,Ser/Plas/Bld,Qn,"Creatinine, Cystatin C and Urea-based formula (CKiD)/1.73 sq M",CHEM,2.79,ACTIVE,1,Both,,"mL/min/1.73 m2","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine, Cystatin C and Urea-based formula (CKiD)/1.73 sq M",mL/min/{1.73_m2},2.75,false,"Glomerular filtration rate:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine, Cystatin C and Urea-based formula (CKiD)/1.73 sq M"
88294-4,"Glomerular filtration rate",ArVRat,Pt,Ser/Plas/Bld,Qn,"Creatinine-based formula (CKD-EPI)/1.73 sq M among non black population",CHEM,2.79,ACTIVE,1,Both,,"mL/min/1.73 sq M","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)/1.73 sq M among non black population",mL/min/{1.73_m2},2.64,false,"Glomerular filtration rate:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (CKD-EPI)/1.73 sq M among non black population"
50379-7,"Creatinine dialysis fluid clearance/1.73 sq M",ArVRat,Pt,"Dial fld+Ser/Plas",Qn,,CHEM,2.70,ACTIVE,1,Both,,mL/min,"Creatinine dialysis fluid clearance/1.73 sq M",mL/min,2.22,false,"Creatinine dialysis fluid clearance/1.73 sq M:ArVRat:Pt:Dial fld+Ser/Plas:Qn:"
48789-2,"Creatinine peritoneal dialysis clearance/1.73 sq M",ArVRat,Pt,"Dial fld prt+Ser/Plas",Qn,,CHEM,2.34,ACTIVE,1,Both,,mL/min,"Creatinine peritoneal dialysis clearance/1.73 sq M",mL/min,2.21,false,"Creatinine peritoneal dialysis clearance/1.73 sq M:ArVRat:Pt:Dial fld prt+Ser/Plas:Qn:"
35592-5,"Creatinine renal clearance/1.73 sq M.predicted",ArVRat,Pt,Ser/Plas,Qn,"Cockcroft-Gault formula, BSA formula",CHEM,2.73,ACTIVE,1,Observation,,"mL/min/1.73 sq m","Creatinine renal clearance/1.73 sq M.predicted by Cockcroft-Gault formula, BSA formula",mL/min/{1.73_m2},2.13,false,"Creatinine renal clearance/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas:Qn:Cockcroft-Gault formula, BSA formula"
50380-5,"Creatinine renal clearance/1.73 sq M.predicted.female",ArVRat,Pt,Ser/Plas,Qn,"Cockcroft-Gault formula, BSA formula",CHEM,2.70,ACTIVE,1,Both,,mL/min,"Creatinine renal clearance/1.73 sq M.predicted among females by Cockcroft-Gault formula, BSA formula",mL/min,2.22,false,"Creatinine renal clearance/1.73 sq M.predicted.female:ArVRat:Pt:Ser/Plas:Qn:Cockcroft-Gault formula, BSA formula"
50381-3,"Creatinine renal clearance/1.73 sq M.predicted.male",ArVRat,Pt,Ser/Plas,Qn,"Cockcroft-Gault formula, BSA formula",CHEM,2.70,ACTIVE,1,Both,,mL/min,"Creatinine renal clearance/1.73 sq M.predicted among males by Cockcroft-Gault formula, BSA formula",mL/min,2.22,false,"Creatinine renal clearance/1.73 sq M.predicted.male:ArVRat:Pt:Ser/Plas:Qn:Cockcroft-Gault formula, BSA formula"
97952-6,"Glomerular filtration rate/Body surface area",ArVRat,Pt,Ser/Plas,Qn,"Creatinine-based formula (CKD-EPI)",CHEM,2.72,DEPRECATED,1,Observation,,mL/min/m2,"Deprecated Glomerular filtration rate/Body surface area [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (CKD-EPI)",mL/min/m2,2.70,false,"Glomerular filtration rate/Body surface area:ArVRat:Pt:Ser/Plas:Qn:Creatinine-based formula (CKD-EPI)"
